"","Top.Module","Measure","Variables_Names"
"134","67_107_159","1056.2123338539","BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRepPhoneOnFile"
"135","19_100_110","1042.29196869263","WasDelinquentDerog__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"136","56_109_113","1027.9459326357","FirmReportedEarnings__BusExecLinkPropertyOverlapCount3__InputAddrSourceCount"
"137","88_110_113_167","1012.54786180528","AssetWatercraftCount__BusExecLinkUtilityOverlapCount3__InputAddrSourceCount__BusExecLinkAuthRep2AddrOnFile"
"138","84_110_125_143","1004.15329840981","AssetPropertyLotSizeTotal__BusExecLinkUtilityOverlapCount3__AssociateLienCount__VerificationBusInputAddr"
"139","88_105_113_188","992.787325266955","AssetWatercraftCount__BusExecLinkPropertyOverlapCount2__InputAddrSourceCount__SSNAddressVariance"
"140","24_100_110","989.00248588224","DerogCounter__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"141","4_100_110","963.725574552339","RealEstateBalance__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"142","19_56_109","962.785822950228","WasDelinquentDerog__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3"
"143","55_105_158","953.435654151966","FirmReportedSales__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRepSSNOnFile"
"144","29_88_107","947.885165468339","VantageScore3.SCORE__AssetWatercraftCount__BusExecLinkUtilityOverlapCount2"
"145","51_56_110","922.001459358595","BusinessActivity12Month__FirmReportedEarnings__BusExecLinkUtilityOverlapCount3"
"146","4_88_110","914.727284330849","RealEstateBalance__AssetWatercraftCount__BusExecLinkUtilityOverlapCount3"
"147","4_88_109","914.727284330849","RealEstateBalance__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
